instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,time_category
2746,2011-04-29,Summer,2011,4,7,0,5,1,Clear/Partly Cloudy,0.52,0.5,0.42,0.194,18,222,240,Morning Rush Hour
2747,2011-04-29,Summer,2011,4,8,0,5,1,Clear/Partly Cloudy,0.54,0.5152,0.39,0.2985,35,386,421,Morning Rush Hour
2748,2011-04-29,Summer,2011,4,9,0,5,1,Clear/Partly Cloudy,0.54,0.5152,0.39,0.3284,45,185,230,Morning Rush Hour
2749,2011-04-29,Summer,2011,4,10,0,5,1,Clear/Partly Cloudy,0.56,0.5303,0.4,0.2836,57,99,156,Non-Rush Hour
2750,2011-04-29,Summer,2011,4,11,0,5,1,Clear/Partly Cloudy,0.6,0.6212,0.38,0.2239,49,108,157,Non-Rush Hour
2751,2011-04-29,Summer,2011,4,12,0,5,1,Clear/Partly Cloudy,0.56,0.5303,0.37,0.2836,63,160,223,Non-Rush Hour
2752,2011-04-29,Summer,2011,4,13,0,5,1,Clear/Partly Cloudy,0.56,0.5303,0.37,0.2985,74,234,308,Non-Rush Hour
2753,2011-04-29,Summer,2011,4,14,0,5,1,Clear/Partly Cloudy,0.6,0.6212,0.35,0.3284,58,190,248,Non-Rush Hour
2754,2011-04-29,Summer,2011,4,15,0,5,1,Misty/Cloudy,0.56,0.5303,0.4,0.2985,77,175,252,Non-Rush Hour
2755,2011-04-29,Summer,2011,4,16,0,5,1,Misty/Cloudy,0.54,0.5152,0.42,0.3582,59,240,299,Evening Rush Hour
2756,2011-04-29,Summer,2011,4,17,0,5,1,Misty/Cloudy,0.52,0.5,0.45,0.3881,75,433,508,Evening Rush Hour
2757,2011-04-29,Summer,2011,4,18,0,5,1,Clear/Partly Cloudy,0.52,0.5,0.48,0.3582,55,384,439,Evening Rush Hour
2758,2011-04-29,Summer,2011,4,19,0,5,1,Clear/Partly Cloudy,0.46,0.4545,0.55,0.3284,40,230,270,Evening Rush Hour
2759,2011-04-29,Summer,2011,4,20,0,5,1,Clear/Partly Cloudy,0.48,0.4697,0.48,0.2239,34,160,194,Non-Rush Hour
2760,2011-04-29,Summer,2011,4,21,0,5,1,Clear/Partly Cloudy,0.46,0.4545,0.51,0.194,50,145,195,Non-Rush Hour
2761,2011-04-29,Summer,2011,4,22,0,5,1,Clear/Partly Cloudy,0.42,0.4242,0.58,0.1642,36,110,146,Non-Rush Hour
2762,2011-04-29,Summer,2011,4,23,0,5,1,Misty/Cloudy,0.44,0.4394,0.54,0.0896,25,88,113,Non-Rush Hour
2763,2011-04-30,Summer,2011,4,0,0,6,0,Misty/Cloudy,0.44,0.4394,0.54,0.2537,33,73,106,Non-Rush Hour
2764,2011-04-30,Summer,2011,4,1,0,6,0,Misty/Cloudy,0.44,0.4394,0.54,0.1642,15,59,74,Non-Rush Hour
2765,2011-04-30,Summer,2011,4,2,0,6,0,Misty/Cloudy,0.44,0.4394,0.54,0.2239,12,53,65,Non-Rush Hour
2766,2011-04-30,Summer,2011,4,3,0,6,0,Misty/Cloudy,0.42,0.4242,0.54,0.194,4,13,17,Non-Rush Hour
2767,2011-04-30,Summer,2011,4,4,0,6,0,Misty/Cloudy,0.42,0.4242,0.54,0.2239,2,5,7,Non-Rush Hour
2768,2011-04-30,Summer,2011,4,5,0,6,0,Clear/Partly Cloudy,0.42,0.4242,0.54,0.3881,3,4,7,Non-Rush Hour
2769,2011-04-30,Summer,2011,4,6,0,6,0,Clear/Partly Cloudy,0.4,0.4091,0.58,0.2836,10,11,21,Morning Rush Hour
2770,2011-04-30,Summer,2011,4,7,0,6,0,Clear/Partly Cloudy,0.4,0.4091,0.54,0.3881,21,27,48,Morning Rush Hour
2771,2011-04-30,Summer,2011,4,8,0,6,0,Clear/Partly Cloudy,0.4,0.4091,0.54,0.2985,21,70,91,Morning Rush Hour
2772,2011-04-30,Summer,2011,4,9,0,6,0,Clear/Partly Cloudy,0.44,0.4394,0.51,0.3582,35,121,156,Morning Rush Hour
2773,2011-04-30,Summer,2011,4,10,0,6,0,Clear/Partly Cloudy,0.48,0.4697,0.44,0.3881,94,185,279,Non-Rush Hour
2774,2011-04-30,Summer,2011,4,11,0,6,0,Clear/Partly Cloudy,0.5,0.4848,0.42,0.3582,120,201,321,Non-Rush Hour
2775,2011-04-30,Summer,2011,4,12,0,6,0,Clear/Partly Cloudy,0.52,0.5,0.42,0.3881,178,238,416,Non-Rush Hour
2776,2011-04-30,Summer,2011,4,13,0,6,0,Clear/Partly Cloudy,0.54,0.5152,0.39,0.2985,185,270,455,Non-Rush Hour
2777,2011-04-30,Summer,2011,4,14,0,6,0,Clear/Partly Cloudy,0.54,0.5152,0.39,0.2239,184,268,452,Non-Rush Hour
2778,2011-04-30,Summer,2011,4,15,0,6,0,Clear/Partly Cloudy,0.56,0.5303,0.37,0.1343,217,282,499,Non-Rush Hour
2779,2011-04-30,Summer,2011,4,16,0,6,0,Clear/Partly Cloudy,0.58,0.5455,0.37,0.194,191,273,464,Evening Rush Hour
2780,2011-04-30,Summer,2011,4,17,0,6,0,Clear/Partly Cloudy,0.56,0.5303,0.43,0.1343,162,245,407,Evening Rush Hour
2781,2011-04-30,Summer,2011,4,18,0,6,0,Clear/Partly Cloudy,0.54,0.5152,0.43,0.1343,134,237,371,Evening Rush Hour
2782,2011-04-30,Summer,2011,4,19,0,6,0,Clear/Partly Cloudy,0.54,0.5152,0.43,0.1343,150,237,387,Evening Rush Hour
2783,2011-04-30,Summer,2011,4,20,0,6,0,Clear/Partly Cloudy,0.44,0.4394,0.62,0.1343,65,159,224,Non-Rush Hour
2784,2011-04-30,Summer,2011,4,21,0,6,0,Clear/Partly Cloudy,0.44,0.4394,0.62,0.1343,58,119,177,Non-Rush Hour
2785,2011-04-30,Summer,2011,4,22,0,6,0,Clear/Partly Cloudy,0.44,0.4394,0.67,0.1045,37,106,143,Non-Rush Hour
2786,2011-04-30,Summer,2011,4,23,0,6,0,Clear/Partly Cloudy,0.44,0.4394,0.67,0.1045,34,91,125,Non-Rush Hour
2787,2011-05-01,Summer,2011,5,0,0,0,0,Clear/Partly Cloudy,0.42,0.4242,0.67,0.0896,19,77,96,Non-Rush Hour
2788,2011-05-01,Summer,2011,5,1,0,0,0,Clear/Partly Cloudy,0.42,0.4242,0.69,0.1045,9,50,59,Non-Rush Hour
2789,2011-05-01,Summer,2011,5,2,0,0,0,Clear/Partly Cloudy,0.42,0.4242,0.77,0.1045,7,43,50,Non-Rush Hour
2790,2011-05-01,Summer,2011,5,3,0,0,0,Clear/Partly Cloudy,0.4,0.4091,0.82,0.1045,8,15,23,Non-Rush Hour
2791,2011-05-01,Summer,2011,5,4,0,0,0,Clear/Partly Cloudy,0.4,0.4091,0.76,0.1045,6,11,17,Non-Rush Hour
2792,2011-05-01,Summer,2011,5,5,0,0,0,Clear/Partly Cloudy,0.4,0.4091,0.82,0.0896,0,10,10,Non-Rush Hour
2793,2011-05-01,Summer,2011,5,6,0,0,0,Misty/Cloudy,0.4,0.4091,0.82,0.0896,4,9,13,Morning Rush Hour
2794,2011-05-01,Summer,2011,5,7,0,0,0,Misty/Cloudy,0.42,0.4242,0.77,0.0896,7,26,33,Morning Rush Hour
2795,2011-05-01,Summer,2011,5,8,0,0,0,Misty/Cloudy,0.44,0.4394,0.77,0.1343,16,43,59,Morning Rush Hour
2796,2011-05-01,Summer,2011,5,9,0,0,0,Misty/Cloudy,0.46,0.4545,0.72,0.1343,45,96,141,Morning Rush Hour
2797,2011-05-01,Summer,2011,5,10,0,0,0,Misty/Cloudy,0.48,0.4697,0.63,0.194,109,155,264,Non-Rush Hour
2798,2011-05-01,Summer,2011,5,11,0,0,0,Clear/Partly Cloudy,0.46,0.4545,0.82,0.1045,109,141,250,Non-Rush Hour
2799,2011-05-01,Summer,2011,5,12,0,0,0,Misty/Cloudy,0.48,0.4697,0.77,0.1045,109,172,281,Non-Rush Hour
2800,2011-05-01,Summer,2011,5,13,0,0,0,Misty/Cloudy,0.5,0.4848,0.63,0.1642,123,209,332,Non-Rush Hour
2801,2011-05-01,Summer,2011,5,14,0,0,0,Misty/Cloudy,0.5,0.4848,0.68,0.1045,85,153,238,Non-Rush Hour
2802,2011-05-01,Summer,2011,5,15,0,0,0,Misty/Cloudy,0.5,0.4848,0.72,0.0,113,153,266,Non-Rush Hour
2803,2011-05-01,Summer,2011,5,16,0,0,0,Misty/Cloudy,0.5,0.4848,0.72,0.194,75,139,214,Evening Rush Hour
2804,2011-05-01,Summer,2011,5,17,0,0,0,Misty/Cloudy,0.48,0.4697,0.82,0.2537,60,136,196,Evening Rush Hour
2805,2011-05-01,Summer,2011,5,18,0,0,0,Misty/Cloudy,0.46,0.4545,0.82,0.0896,33,126,159,Evening Rush Hour
2806,2011-05-01,Summer,2011,5,19,0,0,0,Misty/Cloudy,0.46,0.4545,0.84,0.1045,47,131,178,Evening Rush Hour
2807,2011-05-01,Summer,2011,5,20,0,0,0,Misty/Cloudy,0.46,0.4545,0.82,0.0,35,86,121,Non-Rush Hour
2808,2011-05-01,Summer,2011,5,21,0,0,0,Misty/Cloudy,0.46,0.4545,0.82,0.0,23,82,105,Non-Rush Hour
2809,2011-05-01,Summer,2011,5,22,0,0,0,Misty/Cloudy,0.46,0.4545,0.82,0.0,32,68,100,Non-Rush Hour
2810,2011-05-01,Summer,2011,5,23,0,0,0,Clear/Partly Cloudy,0.46,0.4545,0.77,0.194,64,82,146,Non-Rush Hour
2811,2011-05-02,Summer,2011,5,0,0,1,1,Clear/Partly Cloudy,0.46,0.4545,0.72,0.1343,68,109,177,Non-Rush Hour
2812,2011-05-02,Summer,2011,5,1,0,1,1,Clear/Partly Cloudy,0.46,0.4545,0.72,0.1343,41,73,114,Non-Rush Hour
2813,2011-05-02,Summer,2011,5,2,0,1,1,Misty/Cloudy,0.44,0.4394,0.77,0.2239,16,19,35,Non-Rush Hour
2814,2011-05-02,Summer,2011,5,3,0,1,1,Clear/Partly Cloudy,0.44,0.4394,0.77,0.1343,9,7,16,Non-Rush Hour
2815,2011-05-02,Summer,2011,5,4,0,1,1,Clear/Partly Cloudy,0.44,0.4394,0.77,0.1642,9,8,17,Non-Rush Hour
2816,2011-05-02,Summer,2011,5,5,0,1,1,Misty/Cloudy,0.44,0.4394,0.77,0.1343,4,16,20,Non-Rush Hour
2817,2011-05-02,Summer,2011,5,6,0,1,1,Clear/Partly Cloudy,0.44,0.4394,0.88,0.1045,3,59,62,Morning Rush Hour
2818,2011-05-02,Summer,2011,5,7,0,1,1,Misty/Cloudy,0.46,0.4545,0.82,0.3284,16,193,209,Morning Rush Hour
2819,2011-05-02,Summer,2011,5,8,0,1,1,Misty/Cloudy,0.48,0.4697,0.77,0.2239,21,350,371,Morning Rush Hour
2820,2011-05-02,Summer,2011,5,9,0,1,1,Misty/Cloudy,0.5,0.4848,0.77,0.2836,41,131,172,Morning Rush Hour
2821,2011-05-02,Summer,2011,5,10,0,1,1,Misty/Cloudy,0.54,0.5152,0.77,0.2239,31,77,108,Non-Rush Hour
2822,2011-05-02,Summer,2011,5,11,0,1,1,Clear/Partly Cloudy,0.58,0.5455,0.73,0.2985,34,96,130,Non-Rush Hour
2823,2011-05-02,Summer,2011,5,12,0,1,1,Clear/Partly Cloudy,0.62,0.6061,0.69,0.2239,40,147,187,Non-Rush Hour
2824,2011-05-02,Summer,2011,5,13,0,1,1,Misty/Cloudy,0.62,0.6061,0.69,0.194,51,119,170,Non-Rush Hour
2825,2011-05-02,Summer,2011,5,14,0,1,1,Clear/Partly Cloudy,0.64,0.6061,0.69,0.2239,48,133,181,Non-Rush Hour
2826,2011-05-02,Summer,2011,5,15,0,1,1,Clear/Partly Cloudy,0.66,0.6212,0.61,0.194,45,110,155,Non-Rush Hour
2827,2011-05-02,Summer,2011,5,16,0,1,1,Clear/Partly Cloudy,0.66,0.6212,0.61,0.2239,49,220,269,Evening Rush Hour
2828,2011-05-02,Summer,2011,5,17,0,1,1,Clear/Partly Cloudy,0.66,0.6212,0.65,0.194,65,472,537,Evening Rush Hour
2829,2011-05-02,Summer,2011,5,18,0,1,1,Misty/Cloudy,0.64,0.6061,0.65,0.194,68,450,518,Evening Rush Hour
2830,2011-05-02,Summer,2011,5,19,0,1,1,Misty/Cloudy,0.62,0.6061,0.69,0.1343,46,268,314,Evening Rush Hour
2831,2011-05-02,Summer,2011,5,20,0,1,1,Misty/Cloudy,0.62,0.6061,0.69,0.1343,44,174,218,Non-Rush Hour
2832,2011-05-02,Summer,2011,5,21,0,1,1,Misty/Cloudy,0.6,0.5909,0.73,0.1045,54,178,232,Non-Rush Hour
2833,2011-05-02,Summer,2011,5,22,0,1,1,Misty/Cloudy,0.6,0.5909,0.73,0.0,28,97,125,Non-Rush Hour
2834,2011-05-02,Summer,2011,5,23,0,1,1,Misty/Cloudy,0.56,0.5303,0.83,0.194,16,48,64,Non-Rush Hour
2835,2011-05-03,Summer,2011,5,0,0,2,1,Misty/Cloudy,0.56,0.5303,0.83,0.2239,0,16,16,Non-Rush Hour
2836,2011-05-03,Summer,2011,5,1,0,2,1,Misty/Cloudy,0.56,0.5303,0.78,0.2537,0,14,14,Non-Rush Hour
2837,2011-05-03,Summer,2011,5,2,0,2,1,Misty/Cloudy,0.56,0.5303,0.78,0.2537,0,5,5,Non-Rush Hour
2838,2011-05-03,Summer,2011,5,3,0,2,1,Clear/Partly Cloudy,0.54,0.5152,0.83,0.2836,0,2,2,Non-Rush Hour
2839,2011-05-03,Summer,2011,5,4,0,2,1,Clear/Partly Cloudy,0.52,0.5,0.88,0.2239,3,1,4,Non-Rush Hour
2840,2011-05-03,Summer,2011,5,5,0,2,1,Clear/Partly Cloudy,0.52,0.5,0.88,0.1343,0,14,14,Non-Rush Hour
2841,2011-05-03,Summer,2011,5,6,0,2,1,Misty/Cloudy,0.52,0.5,0.94,0.1642,7,102,109,Morning Rush Hour
2842,2011-05-03,Summer,2011,5,7,0,2,1,Misty/Cloudy,0.54,0.5152,0.88,0.2239,17,248,265,Morning Rush Hour
2843,2011-05-03,Summer,2011,5,8,0,2,1,Misty/Cloudy,0.56,0.5303,0.83,0.2836,24,435,459,Morning Rush Hour
2844,2011-05-03,Summer,2011,5,9,0,2,1,Misty/Cloudy,0.6,0.5758,0.78,0.3582,29,157,186,Morning Rush Hour
2845,2011-05-03,Summer,2011,5,10,0,2,1,Misty/Cloudy,0.64,0.6061,0.69,0.3582,36,91,127,Non-Rush Hour
2846,2011-05-03,Summer,2011,5,11,0,2,1,Misty/Cloudy,0.66,0.6212,0.65,0.3284,20,120,140,Non-Rush Hour
2847,2011-05-03,Summer,2011,5,12,0,2,1,Misty/Cloudy,0.68,0.6364,0.61,0.4925,48,169,217,Non-Rush Hour
2848,2011-05-03,Summer,2011,5,13,0,2,1,Misty/Cloudy,0.7,0.6515,0.58,0.6119,50,144,194,Non-Rush Hour
2849,2011-05-03,Summer,2011,5,14,0,2,1,Misty/Cloudy,0.7,0.6515,0.58,0.5224,36,122,158,Non-Rush Hour
2850,2011-05-03,Summer,2011,5,15,0,2,1,Misty/Cloudy,0.7,0.6515,0.58,0.4478,37,117,154,Non-Rush Hour
2851,2011-05-03,Summer,2011,5,16,0,2,1,Clear/Partly Cloudy,0.72,0.6667,0.54,0.4627,46,225,271,Evening Rush Hour
2852,2011-05-03,Summer,2011,5,17,0,2,1,Clear/Partly Cloudy,0.7,0.6515,0.54,0.4627,53,464,517,Evening Rush Hour
2853,2011-05-03,Summer,2011,5,18,0,2,1,Clear/Partly Cloudy,0.7,0.6515,0.48,0.4179,59,485,544,Evening Rush Hour
2854,2011-05-03,Summer,2011,5,19,0,2,1,Clear/Partly Cloudy,0.68,0.6364,0.57,0.3582,42,323,365,Evening Rush Hour
2855,2011-05-03,Summer,2011,5,20,0,2,1,Clear/Partly Cloudy,0.66,0.6212,0.61,0.194,28,262,290,Non-Rush Hour
2856,2011-05-03,Summer,2011,5,21,0,2,1,Misty/Cloudy,0.64,0.6212,0.61,0.4478,42,183,225,Non-Rush Hour
2857,2011-05-03,Summer,2011,5,22,0,2,1,Misty/Cloudy,0.58,0.5455,0.6,0.3881,14,99,113,Non-Rush Hour
2858,2011-05-03,Summer,2011,5,23,0,2,1,Misty/Cloudy,0.56,0.5303,0.68,0.3284,12,50,62,Non-Rush Hour
2859,2011-05-04,Summer,2011,5,0,0,3,1,Light Snow/Rain,0.52,0.5,0.77,0.1642,5,22,27,Non-Rush Hour
2860,2011-05-04,Summer,2011,5,1,0,3,1,Light Snow/Rain,0.5,0.4848,0.82,0.2836,1,6,7,Non-Rush Hour
2861,2011-05-04,Summer,2011,5,2,0,3,1,Light Snow/Rain,0.5,0.4848,0.82,0.2836,0,4,4,Non-Rush Hour
2862,2011-05-04,Summer,2011,5,3,0,3,1,Light Snow/Rain,0.42,0.4242,0.88,0.5224,0,1,1,Non-Rush Hour
2863,2011-05-04,Summer,2011,5,4,0,3,1,Light Snow/Rain,0.38,0.3939,0.94,0.3284,1,2,3,Non-Rush Hour
2864,2011-05-04,Summer,2011,5,5,0,3,1,Light Snow/Rain,0.36,0.3333,0.87,0.3284,1,8,9,Non-Rush Hour
2865,2011-05-04,Summer,2011,5,6,0,3,1,Light Snow/Rain,0.34,0.303,0.93,0.3881,0,21,21,Morning Rush Hour
2866,2011-05-04,Summer,2011,5,7,0,3,1,Light Snow/Rain,0.34,0.303,0.93,0.3582,6,46,52,Morning Rush Hour
2867,2011-05-04,Summer,2011,5,8,0,3,1,Light Snow/Rain,0.34,0.303,0.93,0.3881,5,74,79,Morning Rush Hour
2868,2011-05-04,Summer,2011,5,9,0,3,1,Light Snow/Rain,0.34,0.303,0.93,0.3582,5,35,40,Morning Rush Hour
2869,2011-05-04,Summer,2011,5,10,0,3,1,Misty/Cloudy,0.34,0.3182,0.93,0.2836,5,26,31,Non-Rush Hour
2870,2011-05-04,Summer,2011,5,11,0,3,1,Clear/Partly Cloudy,0.4,0.4091,0.82,0.3284,3,69,72,Non-Rush Hour
2871,2011-05-04,Summer,2011,5,12,0,3,1,Misty/Cloudy,0.44,0.4394,0.62,0.3582,19,105,124,Non-Rush Hour
2872,2011-05-04,Summer,2011,5,13,0,3,1,Misty/Cloudy,0.46,0.4545,0.59,0.4478,15,128,143,Non-Rush Hour
2873,2011-05-04,Summer,2011,5,14,0,3,1,Clear/Partly Cloudy,0.5,0.4848,0.51,0.3881,13,94,107,Non-Rush Hour
2874,2011-05-04,Summer,2011,5,15,0,3,1,Clear/Partly Cloudy,0.48,0.4697,0.51,0.4179,22,107,129,Non-Rush Hour
2875,2011-05-04,Summer,2011,5,16,0,3,1,Clear/Partly Cloudy,0.5,0.4848,0.45,0.4627,22,173,195,Evening Rush Hour
2876,2011-05-04,Summer,2011,5,17,0,3,1,Clear/Partly Cloudy,0.4,0.4091,0.71,0.2537,22,388,410,Evening Rush Hour
2877,2011-05-04,Summer,2011,5,18,0,3,1,Clear/Partly Cloudy,0.42,0.4242,0.67,0.2537,29,367,396,Evening Rush Hour
2878,2011-05-04,Summer,2011,5,19,0,3,1,Clear/Partly Cloudy,0.42,0.4242,0.58,0.3582,30,266,296,Evening Rush Hour
2879,2011-05-04,Summer,2011,5,20,0,3,1,Clear/Partly Cloudy,0.4,0.4091,0.62,0.3284,17,174,191,Non-Rush Hour
2880,2011-05-04,Summer,2011,5,21,0,3,1,Clear/Partly Cloudy,0.4,0.4091,0.62,0.1642,17,133,150,Non-Rush Hour
2881,2011-05-04,Summer,2011,5,22,0,3,1,Clear/Partly Cloudy,0.38,0.3939,0.62,0.2239,9,80,89,Non-Rush Hour
2882,2011-05-04,Summer,2011,5,23,0,3,1,Clear/Partly Cloudy,0.36,0.3485,0.62,0.2239,8,49,57,Non-Rush Hour
2883,2011-05-05,Summer,2011,5,0,0,4,1,Clear/Partly Cloudy,0.36,0.3485,0.66,0.194,4,23,27,Non-Rush Hour
2884,2011-05-05,Summer,2011,5,1,0,4,1,Clear/Partly Cloudy,0.34,0.3333,0.71,0.194,4,6,10,Non-Rush Hour
2885,2011-05-05,Summer,2011,5,2,0,4,1,Clear/Partly Cloudy,0.34,0.3182,0.66,0.2239,1,4,5,Non-Rush Hour
2886,2011-05-05,Summer,2011,5,3,0,4,1,Clear/Partly Cloudy,0.34,0.3182,0.66,0.2537,0,4,4,Non-Rush Hour
2887,2011-05-05,Summer,2011,5,4,0,4,1,Clear/Partly Cloudy,0.34,0.3182,0.66,0.2537,4,3,7,Non-Rush Hour
2888,2011-05-05,Summer,2011,5,5,0,4,1,Clear/Partly Cloudy,0.34,0.3182,0.66,0.2537,1,29,30,Non-Rush Hour
2889,2011-05-05,Summer,2011,5,6,0,4,1,Clear/Partly Cloudy,0.34,0.3182,0.66,0.2537,3,86,89,Morning Rush Hour
2890,2011-05-05,Summer,2011,5,7,0,4,1,Clear/Partly Cloudy,0.38,0.3939,0.58,0.2537,16,255,271,Morning Rush Hour
2891,2011-05-05,Summer,2011,5,8,0,4,1,Clear/Partly Cloudy,0.42,0.4242,0.5,0.2537,25,415,440,Morning Rush Hour
2892,2011-05-05,Summer,2011,5,9,0,4,1,Clear/Partly Cloudy,0.46,0.4545,0.44,0.2836,20,164,184,Morning Rush Hour
2893,2011-05-05,Summer,2011,5,10,0,4,1,Clear/Partly Cloudy,0.5,0.4848,0.39,0.2836,30,98,128,Non-Rush Hour
2894,2011-05-05,Summer,2011,5,11,0,4,1,Clear/Partly Cloudy,0.52,0.5,0.36,0.4478,43,105,148,Non-Rush Hour
2895,2011-05-05,Summer,2011,5,12,0,4,1,Clear/Partly Cloudy,0.52,0.5,0.34,0.3582,27,169,196,Non-Rush Hour
2896,2011-05-05,Summer,2011,5,13,0,4,1,Clear/Partly Cloudy,0.54,0.5152,0.3,0.5821,50,142,192,Non-Rush Hour
2897,2011-05-05,Summer,2011,5,14,0,4,1,Clear/Partly Cloudy,0.54,0.5152,0.28,0.4478,19,135,154,Non-Rush Hour
2898,2011-05-05,Summer,2011,5,15,0,4,1,Clear/Partly Cloudy,0.56,0.5303,0.26,0.4925,27,120,147,Non-Rush Hour
2899,2011-05-05,Summer,2011,5,16,0,4,1,Clear/Partly Cloudy,0.58,0.5455,0.24,0.4179,36,233,269,Evening Rush Hour
2900,2011-05-05,Summer,2011,5,17,0,4,1,Clear/Partly Cloudy,0.56,0.5303,0.26,0.3881,66,467,533,Evening Rush Hour
2901,2011-05-05,Summer,2011,5,18,0,4,1,Clear/Partly Cloudy,0.56,0.5303,0.26,0.2836,64,456,520,Evening Rush Hour
2902,2011-05-05,Summer,2011,5,19,0,4,1,Clear/Partly Cloudy,0.54,0.5152,0.28,0.2239,56,305,361,Evening Rush Hour
2903,2011-05-05,Summer,2011,5,20,0,4,1,Clear/Partly Cloudy,0.5,0.4848,0.34,0.1642,33,225,258,Non-Rush Hour
2904,2011-05-05,Summer,2011,5,21,0,4,1,Clear/Partly Cloudy,0.5,0.4848,0.36,0.194,39,141,180,Non-Rush Hour
2905,2011-05-05,Summer,2011,5,22,0,4,1,Clear/Partly Cloudy,0.48,0.4697,0.39,0.194,30,135,165,Non-Rush Hour
2906,2011-05-05,Summer,2011,5,23,0,4,1,Clear/Partly Cloudy,0.46,0.4545,0.41,0.194,16,99,115,Non-Rush Hour
2907,2011-05-06,Summer,2011,5,0,0,5,1,Clear/Partly Cloudy,0.44,0.4394,0.44,0.1642,13,43,56,Non-Rush Hour
2908,2011-05-06,Summer,2011,5,1,0,5,1,Clear/Partly Cloudy,0.4,0.4091,0.62,0.1642,8,24,32,Non-Rush Hour
2909,2011-05-06,Summer,2011,5,2,0,5,1,Clear/Partly Cloudy,0.38,0.3939,0.62,0.1045,1,15,16,Non-Rush Hour
2910,2011-05-06,Summer,2011,5,3,0,5,1,Clear/Partly Cloudy,0.36,0.3636,0.71,0.1045,3,6,9,Non-Rush Hour
2911,2011-05-06,Summer,2011,5,4,0,5,1,Clear/Partly Cloudy,0.36,0.3636,0.71,0.1045,0,1,1,Non-Rush Hour
2912,2011-05-06,Summer,2011,5,5,0,5,1,Clear/Partly Cloudy,0.34,0.3485,0.81,0.1045,0,16,16,Non-Rush Hour
2913,2011-05-06,Summer,2011,5,6,0,5,1,Clear/Partly Cloudy,0.36,0.3636,0.81,0.0896,8,74,82,Morning Rush Hour
2914,2011-05-06,Summer,2011,5,7,0,5,1,Clear/Partly Cloudy,0.4,0.4091,0.82,0.0,20,202,222,Morning Rush Hour
2915,2011-05-06,Summer,2011,5,8,0,5,1,Clear/Partly Cloudy,0.42,0.4242,0.77,0.2537,35,415,450,Morning Rush Hour
2916,2011-05-06,Summer,2011,5,9,0,5,1,Clear/Partly Cloudy,0.46,0.4545,0.67,0.2836,27,161,188,Morning Rush Hour
2917,2011-05-06,Summer,2011,5,10,0,5,1,Misty/Cloudy,0.54,0.5152,0.49,0.3284,30,97,127,Non-Rush Hour
2918,2011-05-06,Summer,2011,5,11,0,5,1,Misty/Cloudy,0.54,0.5152,0.49,0.3284,42,123,165,Non-Rush Hour
2919,2011-05-06,Summer,2011,5,12,0,5,1,Clear/Partly Cloudy,0.56,0.5303,0.49,0.3582,48,198,246,Non-Rush Hour
2920,2011-05-06,Summer,2011,5,13,0,5,1,Clear/Partly Cloudy,0.58,0.5455,0.4,0.3284,71,182,253,Non-Rush Hour
2921,2011-05-06,Summer,2011,5,14,0,5,1,Clear/Partly Cloudy,0.6,0.6212,0.4,0.4478,86,127,213,Non-Rush Hour
2922,2011-05-06,Summer,2011,5,15,0,5,1,Clear/Partly Cloudy,0.6,0.6212,0.38,0.3881,89,171,260,Non-Rush Hour
2923,2011-05-06,Summer,2011,5,16,0,5,1,Clear/Partly Cloudy,0.6,0.6212,0.4,0.2537,82,262,344,Evening Rush Hour
2924,2011-05-06,Summer,2011,5,17,0,5,1,Clear/Partly Cloudy,0.58,0.5455,0.4,0.3582,83,470,553,Evening Rush Hour
2925,2011-05-06,Summer,2011,5,18,0,5,1,Light Snow/Rain,0.54,0.5152,0.52,0.3582,85,385,470,Evening Rush Hour
2926,2011-05-06,Summer,2011,5,19,0,5,1,Light Snow/Rain,0.54,0.5152,0.52,0.3582,39,253,292,Evening Rush Hour
2927,2011-05-06,Summer,2011,5,20,0,5,1,Clear/Partly Cloudy,0.52,0.5,0.48,0.1045,29,161,190,Non-Rush Hour
2928,2011-05-06,Summer,2011,5,21,0,5,1,Clear/Partly Cloudy,0.48,0.4697,0.67,0.1343,22,130,152,Non-Rush Hour
2929,2011-05-06,Summer,2011,5,22,0,5,1,Clear/Partly Cloudy,0.46,0.4545,0.72,0.2239,46,105,151,Non-Rush Hour
2930,2011-05-06,Summer,2011,5,23,0,5,1,Clear/Partly Cloudy,0.44,0.4394,0.82,0.1343,27,93,120,Non-Rush Hour
2931,2011-05-07,Summer,2011,5,0,0,6,0,Clear/Partly Cloudy,0.42,0.4242,0.82,0.1343,10,76,86,Non-Rush Hour
2932,2011-05-07,Summer,2011,5,1,0,6,0,Clear/Partly Cloudy,0.42,0.4242,0.82,0.1045,8,50,58,Non-Rush Hour
2933,2011-05-07,Summer,2011,5,2,0,6,0,Clear/Partly Cloudy,0.42,0.4242,0.82,0.0896,5,47,52,Non-Rush Hour
2934,2011-05-07,Summer,2011,5,3,0,6,0,Clear/Partly Cloudy,0.42,0.4242,0.77,0.0896,9,9,18,Non-Rush Hour
2935,2011-05-07,Summer,2011,5,4,0,6,0,Clear/Partly Cloudy,0.4,0.4091,0.82,0.1045,1,4,5,Non-Rush Hour
2936,2011-05-07,Summer,2011,5,5,0,6,0,Clear/Partly Cloudy,0.46,0.4545,0.59,0.1343,4,3,7,Non-Rush Hour
